"id","active","key","model","name","priority","website_id","type","inherit_id"
"__export__.ir_ui_view_751_18c5e866","True","website.template_header_default_align_center","","template_header_default_align_center","16","My Website","QWeb","Template Header Default"
"__export__.ir_ui_view_770_66820907","True","website.sobre-nosotros","","Sobre Nosotros","16","My Website","QWeb",""
"__export__.ir_ui_view_764_81c50fef","True","theme_beauty.s_product_catalog","","s_product_catalog","16","My Website","QWeb","Pricelist"
"__export__.ir_ui_view_754_ee8b7e7b","True","theme_beauty.s_banner","","s_banner","16","My Website","QWeb","Banner"
"__export__.ir_ui_view_755_115b296f","True","theme_beauty.s_call_to_action","","s_call_to_action","16","My Website","QWeb","Call to Action"
"__export__.ir_ui_view_756_63caf7b5","True","theme_beauty.s_color_blocks_2","","s_color_blocks_2","16","My Website","QWeb","Big Boxes"
"__export__.ir_ui_view_757_3b3b4fed","True","theme_beauty.s_company_team","","s_company_team","16","My Website","QWeb","Team"
"__export__.ir_ui_view_758_f2a5029a","True","theme_beauty.s_comparisons","","s_comparisons","16","My Website","QWeb","Comparisons"
"__export__.ir_ui_view_759_c41d3373","True","theme_beauty.s_cover","","s_cover","16","My Website","QWeb","Cover"
"__export__.ir_ui_view_760_0c7ec956","True","theme_beauty.s_image_text","","s_image_text","16","My Website","QWeb","Image - Text"
"__export__.ir_ui_view_761_79236712","True","theme_beauty.s_media_list","","s_media_list","16","My Website","QWeb","Media List"
"__export__.ir_ui_view_762_bcbc20a5","True","theme_beauty.s_numbers","","s_numbers","16","My Website","QWeb","Numbers"
"__export__.ir_ui_view_763_bcc14709","True","theme_beauty.s_picture","","s_picture","16","My Website","QWeb","Picture"
"__export__.ir_ui_view_765_6e922d39","True","theme_beauty.s_product_list","","s_product_list","16","My Website","QWeb","Items"
"__export__.ir_ui_view_766_841ba19b","True","theme_beauty.s_text_image","","s_text_image","16","My Website","QWeb","Text - Image"
"__export__.ir_ui_view_767_fc45ad75","True","theme_beauty.s_title","","s_title","16","My Website","QWeb","Title"
"__export__.ir_ui_view_769_5c0cc380","True","website.template_header_contact_oe_structure_header_contact_1","","Template Header Contact (oe_structure_header_contact_1)","16","My Website","QWeb","Template Header Contact"
"__export__.ir_ui_view_772_8c4d0797","True","website.precio","","Precio","16","My Website","QWeb",""
"__export__.ir_ui_view_771_faad4b59","True","website.servicios","","Servicios","16","My Website","QWeb",""
"__export__.ir_ui_view_750_431b7698","True","website.template_header_default","","Template Header Default","16","My Website","QWeb","Main layout"
"__export__.ir_ui_view_849_cff035e8","True","website.lang_flag","","Language Flag","16","My Website","QWeb",""
"__export__.ir_ui_view_851_fb0f9abd","True","website.template_header_slogan_align_center","","template_header_slogan_align_center","16","My Website","QWeb","Template Header Slogan"
"__export__.ir_ui_view_850_f6a6d6e1","True","website.template_header_hamburger_align_center","","template_header_hamburger_align_center","16","My Website","QWeb","Template Header Hamburger"
"__export__.ir_ui_view_870_75858ad8","True","website.asesoramiento","","asesoramiento","16","My Website","QWeb",""
"__export__.ir_ui_view_871_580b6aad","True","website.instalacion","","instalacion","16","My Website","QWeb",""
"__export__.ir_ui_view_855_f221c85f","True","website.header_language_selector","","Header Language Selector","16","My Website","QWeb","Placeholder Header Language Selector"
"__export__.ir_ui_view_857_cdabe0a2","True","website.header_language_selector_flag","","Header Language Selector Flag","16","My Website","QWeb","Header Language Selector"
"__export__.ir_ui_view_864_81bd9acf","True","website.ventajas-cesped","","Ventajas-cesped","16","My Website","QWeb",""
"__export__.ir_ui_view_869_f98309e7","True","website.garantia","","garantia","16","My Website","QWeb",""
"__export__.ir_ui_view_861_3c18ac9b","True","portal.user_sign_in","","User Sign In","16","My Website","QWeb","User Sign In Placeholder"
"__export__.ir_ui_view_863_54c15662","True","website.contactus","","Contact Us","16","My Website","QWeb",""
"__export__.ir_ui_view_866_71724272","True","website.instalacion-cesped","","instalacion-cesped","16","My Website","QWeb",""
"__export__.ir_ui_view_872_1889dc3b","True","website.mantenimiento","","mantenimiento","16","My Website","QWeb",""
"__export__.ir_ui_view_862_676d02ed","True","website.header_call_to_action","","Header Call to Action","16","My Website","QWeb","Placeholder Header Call to Action"
"__export__.ir_ui_view_865_de15f3ec","True","website.aplicacion-cesped","","Aplicacion-cesped","16","My Website","QWeb",""
"__export__.ir_ui_view_753_8b5a8347","True","website.footer_custom","","Default","16","My Website","QWeb","Main layout"
"__export__.ir_ui_view_867_f4fb20a4","True","website.mantenimiento-cesped","","Mantenimiento-cesped","16","My Website","QWeb",""
"__export__.ir_ui_view_868_2d9adfd2","True","website.limpieza","","limpieza","16","My Website","QWeb",""
"__export__.ir_ui_view_873_0157dc47","True","website.financiacion","","financiacion","16","My Website","QWeb",""
"__export__.ir_ui_view_467_efc9ea77","True","website.homepage","","Home","16","My Website","QWeb",""
"__export__.ir_ui_view_745_4180b465","True","website.homepage","","Home","16","My Website 2","QWeb",""
